Date,AAPL,GOOG,IBM,MSFT
2010-10-04,108825500,3895400,4059900,98143400
2010-10-05,125491800,7040400,6202500,78152900
2010-10-06,167717200,5545200,4783000,50489700
2010-10-07,102099900,4809400,6440800,50096100
2010-10-08,164600800,5739800,4540800,41327800
2010-10-11,106938300,5272200,4004300,27587800
2010-10-12,139636000,7535300,5637300,50141500
2010-10-13,157523100,6134000,8784300,75336500
2010-10-14,108824100,13317800,5653100,51949100
2010-10-15,230548500,29760600,7220400,68954800
2010-10-18,273252700,14249500,10322700,48330500
2010-10-19,308196000,9210100,14159100,66150900
2010-10-20,180406100,7076500,6945500,56283600
2010-10-21,137865000,5862800,6221200,50032400
2010-10-22,93194500,4529100,4105300,25837900
2010-10-25,98115500,6340400,4870000,50912400
2010-10-26,98232400,5044600,7327100,69304200
2010-10-27,99750700,4500500,6465300,64805500
2010-10-28,137762800,4384900,5481600,80730300
2010-10-29,107627800,4573600,8439300,114193200
2010-11-01,105972300,6197200,5674600,61912100
2010-11-02,108482500,4010000,4626400,54402100
2010-11-03,127087100,6786200,5182100,110255300
2010-11-04,160622000,7168300,6622500,93599300
2010-11-05,90313300,3544600,4995800,110953700
2010-11-08,70439600,4218300,4459700,71670800
2010-11-09,95886000,4491000,5700600,58538600
2010-11-10,96056800,5012600,5172000,52277300
2010-11-11,90321000,4540100,4752200,62073100
2010-11-12,198961700,6811300,4731500,64962200
2010-11-15,100901500,6983800,3827700,51794600
2010-11-16,164412500,6639500,6342100,65339200
2010-11-17,119862400,4903200,4785900,58299700
2010-11-18,123622800,5199300,4236200,59514000
2010-11-19,96210800,4612100,5015900,52423200
2010-11-22,98268800,4389500,3730700,53350500
2010-11-23,129861900,4341300,4570300,69742500
2010-11-24,103431300,4810600,4874100,56825900
2010-11-26,59396400,2632000,2081300,21356500
2010-11-29,111446300,5740800,5040300,56603600
2010-11-30,125464500,14288100,7674800,75282100
2010-12-01,115437700,7536300,6822800,74123500
2010-12-02,115709300,5114800,5374000,91759200
2010-12-03,85523200,5282000,3710600,52622000
2010-12-06,112120400,4203200,3321800,36264200
2010-12-07,97863500,6107100,4828600,57860500
2010-12-08,80483900,3526900,4961400,41666800
2010-12-09,73537800,3751700,4405300,47148300
2010-12-10,65627800,3422100,3503800,37625800
2010-12-13,109953900,4814800,4741000,47943900
2010-12-14,87752000,3298800,4800800,64070500
2010-12-15,104328000,4351600,4447400,69634200
2010-12-16,80507700,3205600,4178600,57680200
2010-12-17,96732300,6197200,10027000,87456500
2010-12-20,96402600,3961300,3995000,52811000
2010-12-21,64088500,3773000,3777100,38153000
2010-12-22,66480400,2424000,3388800,42252300
2010-12-23,55789300,2229900,2424500,24902500
2010-12-27,62454000,2425200,2314700,21652800
2010-12-28,43981000,2137500,2699600,23042200
2010-12-29,40784800,2046000,3661100,19502500
2010-12-30,39373600,1986300,3039100,20786100
2010-12-31,48377000,3090000,2969800,24752000
2011-01-03,111284600,4748100,4603800,53443800
2011-01-04,77270200,3662600,5060100,54405600
2011-01-05,63879900,5083500,4657400,58998700
2011-01-06,75107200,4131000,5029200,88026300
2011-01-07,77982800,4218100,4135700,73762000
2011-01-10,112140000,3170100,3633400,57573600
2011-01-11,111027000,2889300,4163600,50298900
2011-01-12,75647600,3277500,4091500,52631100
2011-01-13,74195100,2677900,3445800,67077600
2011-01-14,77210000,4748900,4544200,62688400
2011-01-18,470249500,7261000,9176900,53322700
2011-01-19,283903200,6837700,12141000,50005900
2011-01-20,191197300,11012600,7439900,58613600
2011-01-21,188600300,17875500,7009000,58080300
2011-01-24,143670800,9232700,7285100,52047800
2011-01-25,136717000,7320800,8260800,42436600
2011-01-26,126718900,4091400,5353100,74628800
2011-01-27,71256500,4053400,4878300,146938600
2011-01-28,148014300,8493800,6725600,141249400
2011-01-31,94311700,5630800,7197200,65029000
2011-02-01,106658300,5511000,5831300,62810700
2011-02-02,64738800,3534500,3904000,45824000
2011-02-03,98449400,3001300,4683400,60340100
2011-02-04,80460100,3113200,3755200,40412200
2011-02-07,121255400,3612500,4928100,68980900
2011-02-08,95260200,3402400,5612600,34904200
2011-02-09,120686300,3698700,4633600,52905100
2011-02-10,232137500,4686200,5737800,76672400
2011-02-11,91893200,5199100,5185200,83939700
2011-02-14,77604100,4271800,4129800,56766200
2011-02-15,71043700,4199500,3768700,44116500
2011-02-16,120289400,3380500,3216000,70817900
2011-02-17,132645800,2968600,3230500,57207300
2011-02-18,204014300,6459800,4245000,68667800
2011-02-22,218138900,7307000,5209300,60889000
2011-02-23,167963600,5800700,5998100,60234100
2011-02-24,124975200,5443700,5707500,64494200
2011-02-25,95004700,3879200,4518400,53006300
2011-02-28,100768500,4580000,4773000,51379900
2011-03-01,114034200,6671200,4382800,60055000
2011-03-02,150647700,4068500,3413000,48658200
2011-03-03,125197100,3905000,4057800,68271500
2011-03-04,113316700,6044500,4910700,70437200
2011-03-07,136530800,6951300,5312000,64980400
2011-03-08,89079200,4586800,5384800,50549800
2011-03-09,113326500,4318100,9086600,39789100
2011-03-10,126884800,6279500,7041400,66549500
2011-03-11,117770100,6086600,4271000,49905800
2011-03-14,108989300,5653200,4300500,54473400
2011-03-15,180270300,8041200,6475800,76067300
2011-03-16,290502800,7625300,12195300,100725400
2011-03-17,164855600,5820200,7376400,62497000
2011-03-18,188303500,6621800,11450000,85486700
2011-03-21,102350500,6064400,5784000,46878100
2011-03-22,81480700,3787800,4311400,30895600
2011-03-23,93249100,3645900,4782500,43969000
2011-03-24,101178000,4213000,5145800,38696700
2011-03-25,112227500,5738200,5348100,57029800
2011-03-28,77338800,4453300,3972800,48973200
2011-03-29,88225200,3221600,3456700,40763500
2011-03-30,82351500,2855200,3394100,41999300
2011-03-31,68504800,4073900,3860800,63233700
2011-04-01,104665400,5245900,4381900,63114200
2011-04-04,115021200,4124300,3225100,35433700
2011-04-05,120682800,12140200,3612000,73651100
2011-04-06,100634800,5356500,3774800,65581400
2011-04-07,93361800,5081900,3666700,46134700
2011-04-08,94383800,3817800,3324100,39887600
2011-04-11,99736700,3730300,4139000,34286300
2011-04-12,106409800,4186700,3860600,36920400
2011-04-13,86555000,4154200,4181900,38144700
2011-04-14,75450200,10953400,4699100,55239900
2011-04-15,113401400,28192500,5287400,65080400
2011-04-18,152474700,10117300,6160700,58045100
2011-04-19,104844600,5388200,6547100,38892400
2011-04-20,175166600,6142900,10891800,61608600
2011-04-21,188452600,4958600,6158400,46892300
2011-04-25,66636500,3273700,3583800,33525100
2011-04-26,84700000,7026100,7300000,69200000
2011-04-27,89053300,4613900,5299700,52689000
2011-04-28,90239800,4014800,5087700,80200000
2011-04-29,251586300,8488600,5587700,319317900
2011-05-02,110678400,4283300,5396200,89825600
2011-05-03,78337000,4178500,5007700,71892900
2011-05-04,97312600,4249800,6890300,73292300
2011-05-05,83992300,4010400,7332000,55600000
2011-05-06,70033600,4127600,4839400,55993000
2011-05-09,51186800,3911900,3594800,38696400
2011-05-10,70522900,4101000,4934800,120798700
2011-05-11,84000000,4695000,4663200,78600000
2011-05-12,80500000,2907300,5138500,77400000
2011-05-13,81529000,4233100,5167400,66812300
2011-05-16,112443800,5938500,4662200,91350900
2011-05-17,113083600,6631900,8773200,82882100
2011-05-18,83694100,3921000,4154300,53931100
2011-05-19,65292500,4955800,3538300,37783600
2011-05-20,84492100,4652300,4869900,45451500
2011-05-23,95900000,4617100,5144000,52692500
2011-05-24,80481800,3814100,4643600,47691800
2011-05-25,73556000,2612900,3882100,34904200
2011-05-26,55640200,4252800,5771300,78016600
2011-05-27,50899800,3504500,3277600,50251000
2011-05-31,104438600,5394600,9123400,60196300
2011-06-01,138670700,5933900,5134600,74033500
2011-06-02,84695800,4425500,3854100,51487800
2011-06-03,78312500,3510000,5230500,60697700
2011-06-06,115485300,3898600,3619700,54778700
2011-06-07,132446300,3829400,4187000,41112600
2011-06-08,83430900,3319100,3850800,42205000
2011-06-09,68772200,3390700,4299800,42878700
2011-06-10,108488800,4898000,4683300,49327200
2011-06-13,82368300,4872700,5099200,47572500
2011-06-14,83642300,4700400,7050000,42894500
2011-06-15,99799000,4162000,5225600,49410200
2011-06-16,127647800,5534600,4861100,57184100
2011-06-17,153755000,10530000,7149700,83320400
2011-06-20,160161400,6079800,3956100,54338400
2011-06-21,123345600,5551400,5387300,49708700
2011-06-22,97645800,4832200,3960500,44287300
2011-06-23,139939800,9639300,5271500,59470400
2011-06-24,109951800,7639700,4402600,101387200
2011-06-27,84953400,6915100,4446700,92044200
2011-06-28,73574900,5450500,4850000,81032100
2011-06-29,88136300,4703400,3817100,66051000
2011-06-30,80738700,4874900,5105200,52535400
2011-07-01,108828300,7300500,5181700,52906200
2011-07-05,88763500,7727100,4586500,37805300
2011-07-06,111156500,5411300,5885900,48744200
2011-07-07,99915900,7900400,5905600,51946500
2011-07-08,122408300,9576100,4399900,58320700
2011-07-11,110668600,5699800,4766500,43999800
2011-07-12,112902300,5703600,5036800,47319300
2011-07-13,97909700,5601200,4074800,40861800
2011-07-14,107633400,13348700,4613100,46382300
2011-07-15,121116800,27567000,5347100,49132400
2011-07-18,143163300,8970000,8879700,44501900
2011-07-19,204786400,5957200,13245600,86730600
2011-07-20,235335100,4472200,5901100,49795400
2011-07-21,131633600,6964900,4958400,81737400
2011-07-22,129182200,7082700,4516100,76380600
2011-07-25,147451500,6286600,4987000,108482400
2011-07-26,119145600,4703200,4356200,74636500
2011-07-27,164831100,7898200,5806800,71488700
2011-07-28,148508500,6240000,4478800,83761400
2011-07-29,158146100,8305700,6665600,104394800
2011-08-01,153209000,7961800,5842700,61838400
2011-08-02,159884900,6425100,5770400,63883100
2011-08-03,183127000,7680000,6722000,64581200
2011-08-04,217851900,9866000,11022300,92949500
2011-08-05,301147700,11902500,11871800,112071700
2011-08-08,285958400,15049300,15804900,134257200
2011-08-09,270645900,12987800,12517600,126268900
2011-08-10,219664200,10779400,13993600,127819900
2011-08-11,185492300,9697300,9175600,90690100
2011-08-12,132244000,6332200,5187000,64787100
2011-08-15,115136000,14343200,7645400,56529400
2011-08-16,124687500,13930700,5585400,54251500
2011-08-17,110515300,8188700,5129700,50923700
2011-08-18,212858800,12628400,15082600,105714200
2011-08-19,193972100,10860500,14068600,77397900
2011-08-22,133828800,9848500,7249100,54721000
2011-08-23,164208800,8726000,6923300,59670600
2011-08-24,156566900,7215800,6427000,45329700
2011-08-25,217836500,6610500,6751600,48192000
2011-08-26,160369300,7219400,6438200,71957000
2011-08-29,101317300,4689000,5293400,38863200
2011-08-30,104480600,6000300,4477700,57341400
2011-08-31,130646600,5406700,6074200,59300800
2011-09-01,85931300,4849000,5463900,60510800
2011-09-02,109734800,4820300,4979100,43894400
2011-09-06,127424500,5451900,5761200,54929300
2011-09-07,87644200,5532200,6796600,41961000
2011-09-08,104039600,4778700,6027200,65811900
2011-09-09,141203300,6562000,6743900,64529200
2011-09-12,116958100,5360700,5247200,55046100
2011-09-13,110140100,4726000,4723800,48792300
2011-09-14,133681100,5408900,6980700,66739200
2011-09-15,104454700,5943700,5464400,67808300
2011-09-16,174628300,7095000,11048100,89681500
2011-09-19,205965200,4955200,4755600,52324900
2011-09-20,193938500,5578900,6209600,49211900
2011-09-21,151494000,5047400,7043100,72750700
2011-09-22,242120200,8833500,8195600,96278300
2011-09-23,136569300,5575300,5586600,64768100
2011-09-26,203219100,5288000,6745700,51057600
2011-09-27,158124400,6044300,7638800,55620700
2011-09-28,107409400,4543500,7732200,60736200
2011-09-29,162771700,5834900,6944300,63407300
2011-09-30,136910200,5467500,7807400,54060500
2011-10-03,167274800,8982200,9042600,64592500
2011-10-04,308419300,8348700,9200000,83485400
2011-10-05,196617400,9102100,5851700,94061300
2011-10-06,203145600,6874200,7180900,55111400
2011-10-07,133864500,5733100,6842600,52741600
2011-10-10,110628700,4661700,5784800,41815300
2011-10-11,151421900,5728100,5330500,38826200
2011-10-12,155571500,6379300,5338200,52489800
2011-10-13,106546300,11417700,4399200,43823500
2011-10-14,143341800,17123600,5368200,50947700
2011-10-17,171511200,8046400,8790300,39453300
2011-10-18,220400600,7630000,15729400,52487900
2011-10-19,276014900,5884900,6708300,42880000
2011-10-20,137317600,6783200,7513800,76300200
2011-10-21,155311100,6807300,8054200,76620600
2011-10-24,125534500,6879400,5890600,56897800
2011-10-25,107606800,5099900,5373100,53554600
2011-10-26,114076200,5767600,5387700,63029900
2011-10-27,123666200,7588800,7057800,74512400
2011-10-28,80710700,5034700,5009800,57712100
2011-10-31,96375300,5134700,4710000,46799000
2011-11-01,132947500,6273500,5881200,61182600
2011-11-02,81837700,4257600,4136600,53533100
2011-11-03,110346600,5359500,4953500,65836100
2011-11-04,75557300,5690700,3237600,36549200
2011-11-07,67568900,6739900,3530800,42589700
2011-11-08,100110500,6081400,4330600,47822500
2011-11-09,139671000,7449700,5494800,62950900
2011-11-10,186188100,5758200,3881600,32514400
2011-11-11,163446500,7983700,3665300,37903000
2011-11-14,108226300,6401200,6038600,34199200
2011-11-15,107702700,5372000,4585300,43874200
2011-11-16,87302600,5236500,4616800,53262800
2011-11-17,119975100,7012700,5840500,70977500
2011-11-18,92984500,6599900,4440900,47626200
2011-11-21,111995100,6025000,5145100,61882500
2011-11-22,102255300,4828600,4178600,49204500
2011-11-23,107067800,4668900,4800900,49099700
2011-11-25,63690200,3136400,2232800,26164600
2011-11-28,86603300,5678900,4524200,46766700
2011-11-29,93963800,3677200,3661600,40917100
2011-11-30,101484600,6819300,7836800,81350900
2011-12-01,96795300,7268300,4858800,48545400
2011-12-02,94763900,8201900,4962200,52293800
2011-12-05,89302500,6418800,5699400,56818400
2011-12-06,70899500,4670300,4144900,46175300
2011-12-07,76186600,4531500,5081700,62667000
2011-12-08,94089100,4844200,4369000,60522200
2011-12-09,74248300,5553100,4847900,53788500
2011-12-12,75266800,4384100,3796100,38945900
2011-12-13,84732200,8086500,5008400,54581100
2011-12-14,101721900,7836600,5057700,47926400
2011-12-15,64050000,4835200,4474500,46213900
2011-12-16,105369600,8952000,11849400,101408100
2011-12-19,58882600,4302900,5039900,52258300
2011-12-20,84303800,4794200,4740100,60767600
2011-12-21,65737000,5014400,9282500,64132500
2011-12-22,50589700,3658200,5052000,35794100
2011-12-23,67349800,2918200,3052300,23205800
2011-12-27,66269000,3224800,2775200,21287200
2011-12-28,57165500,4270200,2872000,29822500
2011-12-29,53994500,3162500,2941600,22616900
2011-12-30,44915500,3577800,3530900,27395700
2012-01-03,75555200,7380500,5646000,64731500
2012-01-04,65005500,5749400,4346700,80516100
2012-01-05,67817400,6590300,4463100,56081400
2012-01-06,79573200,5405900,4897100,99455500
2012-01-09,98506100,11688800,5201200,59706800
2012-01-10,64549100,8824000,5161000,60014400
2012-01-11,53771200,4817800,4110800,65582400
2012-01-12,53146800,3764400,6881000,49370800
2012-01-13,56505400,4631800,5279200,60196100
2012-01-17,60724300,3832800,6003400,72395300
2012-01-18,69197800,5544000,4600600,64860600
2012-01-19,65434600,12657800,8567200,74053500
2012-01-20,103493600,21231800,12849700,165902900
2012-01-23,76515600,6851300,5751700,76078100
2012-01-24,136909500,6134400,5345700,51703300
2012-01-25,239578500,10012700,4359700,59231700
2012-01-26,80996300,6476500,4004700,49102800
2012-01-27,74927300,7262000,3360400,44187700
2012-01-30,94835300,4678400,4359000,51114800
2012-01-31,97920900,4300700,4826800,50572400
2012-02-01,67511500,4658700,5088800,67409900
2012-02-02,46699100,4847400,3907300,52223300
2012-02-03,71649900,6360700,4521700,41838500
2012-02-06,62353200,7386700,3639800,28039700
2012-02-07,79055900,4199700,3433000,39242400
2012-02-08,101972500,3686400,3803800,49659100
2012-02-09,221053700,4546300,3876400,50481600
2012-02-10,157825500,4667700,3391100,44605300
2012-02-13,129304000,3646100,2458800,33319800
2012-02-14,115099600,3620900,3398100,59644000
2012-02-15,376530000,4869900,4020900,43311300
2012-02-16,236138000,5080700,3525500,94705100
2012-02-17,133951300,4916400,3746500,70036500
2012-02-21,151398800,4980100,3293600,50829900
2012-02-22,120825600,3948700,3275800,49253200
2012-02-23,142006900,4125300,8032700,35034700
2012-02-24,103768000,3885600,3353200,35575400
2012-02-27,136895500,3641300,3758400,34568400
2012-02-28,150096800,5716400,3167400,45230600
2012-02-29,238002800,6297200,5117100,59323600
2012-03-01,170817500,4492000,3560300,77344100
2012-03-02,107928100,3158300,3727400,47314200
2012-03-05,202281100,3198400,6938000,45240000
2012-03-06,202559700,6372500,5214700,51932900
2012-03-07,199630200,2538400,3346900,34340400
2012-03-08,129114300,2700900,3145800,36747400
2012-03-09,104729800,5361100,3178200,34628400
2012-03-12,101820600,3350400,3119700,34073600
2012-03-13,172713800,4508300,4866000,48951700
2012-03-14,354711000,5895700,4602300,41986900
2012-03-15,289929500,4888300,3621100,49068300
2012-03-16,206371900,6123800,9637000,65626400
2012-03-19,225309000,4361800,3763200,44789200
2012-03-20,204165500,3092400,3695100,41566800
2012-03-21,161010500,4957600,3329900,37928600
2012-03-22,155967700,4838400,3307800,31749500
2012-03-23,107622200,3894800,3036200,35912200
2012-03-26,148935500,3651900,3418200,36758300
2012-03-27,151782400,4029400,2704500,36274900
2012-03-28,163865100,5096700,3265700,41344800
